105,22-Jul-19,Sony DSC Camera,FC - PV 375,2019-20,2 Cameras Purchase,REG/FC/2019-20/214,Equipments and Machinaries,Sony,,,"6,595",,MMC,In use
106,31-Jul-19,Solar Panel ,FC - PV 390,2019-20,Solar Panel ,REG/FC/2019-20/215,solar equipments,,,,"31,880",,Office,In use
107,19-Aug-19,AES Puthur Roofing Work,"PV 430,436,444,448, 480,483,528",2019-20,AES Puthur Roofing Work,REG/FC/2019-20/217,Buildings,,,,"50,970",,Pudhur,In use
108,25-Sep-19,Box for MCL,FC - PV 538,2019-20,Box for MCL,REG/FC/2019-20/218,Equipments and Machinaries,,,,"6,390",,AML,In use
109,14-Oct-19,Box for MCL,FC - PV 589,2019-20,Box for MCL,REG/FC/2019-20/219,Equipments and Machinaries,,,,"6,000",,AML,In use
110,7-Jan-20,Computer Software - MCL,FC - PV 832,2019-20,Computer Software - MCL,REG/FC/2019-20/220,Computer,,,,"10,000",,AML,In use
111,13-Jan-20,Books,34 PVs,2011-20,Library Books,REG/FC/2019-20/221,Books,,,,"397,618",,AML,In use
112,22-Jan-20,Barcode Scanner,FC - PV 861,2019-20,Barcode Scanner - Mobile Library,REG/FC/2019-20/222,Equipments and Machinaries,,,,"9,800",,AML,In use
113,24-Jan-20,Tally TDL Software,FC - PV 862,2019-20,Tally TDL Software,REG/FC/2019-20/223,Computer,Tally TDL,Donation Receipt TDL,,"3,000",,Office,In use
114,29-Jan-20,AES Devanandhal Roofing Work,"FC - PV 847,848,865, 876,885,899,933,946",2019-20,AES Devanandhal Roofing Work,REG/FC/2019-20/224,Buildings,,,,"86,873",,AES Centers,In use
